,track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
2887,008MceT31RotUANsKuzy3L,Liquid Blue,The.madpix.project,24,1Z4ANBVuhTlS6DprlP0m1q,Liquid Blue,2015-08-07,Electropop - Pop,5TiiHps0hNCyQ6ijVkNZQs,pop,electropop,0.659,0.794,10,-5.644,0,0.054,0.000761,0.132,0.322,0.852,128.041,228565
1029,008rk8F6ZxspZT4bUlkIQG,Fever,YOSA & TAAR,38,2BuYm9UcKvI0ydXs5JKwt0,Fever,2018-11-16,Best of 2019 Dance Pop: Japan,37i9dQZF1DXdOtZGKonFlM,pop,dance pop,0.662,0.838,1,-6.3,1,0.0499,0.114,0.000697,0.0881,0.496,129.884,236308
4472,00HIh9mVUQQAycsQiciWsh,Limestone,Magic City Hippies,58,7mtoEwzZYBqG8JYItxcccG,Hippie Castle EP,2015-07-24,Indie Poptimism,1pZWCY50kMUhshcESknir8,pop,indie poptimism,0.706,0.457,4,-9.359,1,0.0383,0.282,0.00849,0.0614,0.723,78.014,209165
1823,00OKDIsSQbx8rd5Al7fKNw,"Stand Out - From ""How to Build a Better Boy""",Sabrina Carpenter,33,3cfTPG7l0IBjJh7MVBqNdx,"Stand Out (From ""How to Build a Better Boy"")",2014-08-12,🤩🤪Post Teen Pop🤪🤩,6IT8LGpwLw3Pt2XnVUBN7j,pop,post-teen pop,0.414,0.806,7,-2.892,1,0.0665,0.00792,9.33e-05,0.0488,0.77,96.044,208827
4797,00PTJgyN0GTk2ProuLJ1aW,Thousand Lakes,Miki Ratsula,38,0VQ9u87JxfVlUH359tKedX,Thousand Lakes,2019-11-15,The Pulse of Indie Poptimism,5qFXOOxrQVyS4UCq3UilZN,pop,indie poptimism,0.609,0.593,9,-5.745,1,0.0365,0.0332,0.00439,0.11,0.264,85.016,160941
3726,00S35gEf40z03JTJgvQMqi,It's You - Radio Edit,Syn Cole,51,34u7JI9MqdhGSkhMNrlDST,It's You,2015-04-07,ElectroPop,0cuHKz65ZPqBX1brG8djlg,pop,electropop,0.646,0.831,10,-4.164,1,0.0523,0.11,1.04e-05,0.134,0.486,127.957,211875
3912,00YeYHw6zhoy1y7EPTgIkj,Shine - Kygo Remix,Benjamin Francis Leftwich,48,6tUKtq2hrHaWVs5Qokzc1P,Shine (Kygo Remix),2014-01-01,Chillout & Remixes 💜,4NlAd9NpIa92IjErMyAriM,pop,indie poptimism,0.703,0.599,4,-8.687,1,0.138,0.402,0.000572,0.243,0.312,112.017,280640
1429,00Z0GIRi0l7WqQnQJCo5S2,Don't Let It Break Your Heart - Single Edit,Louis Tomlinson,75,5u9HZPF2dVu38Ly2Ftje7S,Don't Let It Break Your Heart,2019-11-23,The Sound of Post-Teen Pop,10FCW9lj0NdeoYI5VVvVtY,pop,post-teen pop,0.362,0.708,10,-4.046,1,0.0672,0.0226,0.0,0.0873,0.513,166.31,196160
411,00bc7A2CLjp40XNd6ZPZNa,JAM fo'freedom (SASUKE Remix),RUN THE FLOOR,21,7fJ5bWDXYnd7slOCnbTgqJ,THE 4CE,2020-01-15,Dance Pop: Japan,37i9dQZF1DXahYFr91pFvG,pop,dance pop,0.763,0.763,10,-4.176,0,0.0626,0.0298,1.9e-05,0.652,0.953,143.994,211547
450,00emjlCv9azBN0fzuuyLqy,Dumb Litty,KARD,65,7h5X3xhh3peIK9Y0qI5hbK,KARD 2nd Digital Single ‘Dumb Litty’,2019-09-22,K-Party Dance Mix,37i9dQZF1DX4RDXswvP6Mj,pop,dance pop,0.76,0.887,9,-1.993,1,0.0409,0.037,0.0,0.138,0.24,130.018,193160
2170,00lNx0OcTJrS3MKHcB80HY,You Don't Know Me - Radio Edit,Jax Jones,14,4eYnvtB4sTtfGr0903YMn4,You Don't Know Me,2016-12-09,BALLARE - رقص,1CMvQ4Yr5DlYvYzI0Vc2UE,pop,post-teen pop,0.876,0.669,11,-6.054,0,0.138,0.163,0.0,0.185,0.682,124.007,213947
1903,00qOE7OjRl0BpYiCiweZB2,Juke Box Hero,Foreigner,67,2Pw51hAGvWpTA3AYl2WVuu,4 (Expanded),1981,Dr. Q's Prescription Playlist💊,6jAPdgY9XmxC9cgkXAVmVv,pop,post-teen pop,0.357,0.653,9,-5.554,1,0.0654,0.0828,0.0,0.0844,0.522,176.647,259800
3958,011gUcrvLDn2gEApOdOhVe,Been A While,Sam Feldt,2,4f99odoYED4w3X3EgMrjYG,Been A While,2016-02-05,Chillout & Remixes 💜,4NlAd9NpIa92IjErMyAriM,pop,indie poptimism,0.779,0.695,1,-6.064,0,0.031,0.425,0.000769,0.107,0.392,120.004,163527
121,01iyINEYgPQ7ThMZuHUsqS,First Love,Lost Kings,58,7syMmofF2t1xI0RFCtrSG9,First Love,2017-10-13,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.619,0.938,5,-5.245,1,0.35,0.0257,1.39e-05,0.128,0.601,94.38,207428
3115,01vv2AjxgP4uUyb8waYO5Y,Morph,Twenty One Pilots,70,621cXqrTSSJi1WqDMSLmbL,Trench,2018-10-05,Electropop,2Z5cPJ6Z4EVZAfF08amjvL,pop,electropop,0.734,0.607,8,-7.249,0,0.0806,0.0747,0.000577,0.0968,0.518,90.023,258853
4760,027VSEVC8RRjUXLEJAzhH6,On the Back of Your Neck,Cienfue,49,0v8NfkCv7W76lm9Cea5LzO,On the Back of Your Neck,2020-01-03,The Pulse of Indie Poptimism,5qFXOOxrQVyS4UCq3UilZN,pop,indie poptimism,0.676,0.788,9,-4.596,0,0.0428,0.1,0.254,0.326,0.688,123.018,253444
2252,02Qo5DFgoGTiBGo4ZUvjXm,pete davidson,Ariana Grande,36,5KOu62BJwwCJTfyyAaEbZk,Sweetener,2018-08-17,Post Teen Pop,2Aud8PXoTGcyY5esHu4Aaz,pop,post-teen pop,0.654,0.312,4,-10.212,1,0.0508,0.429,8.59e-06,0.19,0.304,119.9,73813
2131,02XnQdf7sipaKBBHixz3Zp,Paparazzi,Lady Gaga,69,1qwlxZTNLe1jq3b0iidlue,The Fame,2008-01-01,BALLARE - رقص,1CMvQ4Yr5DlYvYzI0Vc2UE,pop,post-teen pop,0.762,0.692,5,-3.973,0,0.0438,0.113,0.0,0.094,0.397,114.906,208307
4727,02bTIMbUm8Zgt0cVAiexE4,This Is Our Time,WILD,57,3AqbPrgSagOalMSxVMkkrG,This Is Our Time,2019-12-28,The Pulse of Indie Poptimism,5qFXOOxrQVyS4UCq3UilZN,pop,indie poptimism,0.531,0.724,8,-7.341,1,0.0283,0.0243,0.0515,0.112,0.288,145.022,202478
2417,02jcEwywffn3Tsb48fXmlW,Get the Party Started,P!nk,66,57wJKO7qrPw56iOEKhTmg2,M!ssundaztood (Expanded Edition),2001,post-teen pop,4TvZA7Pml7mHLgbwNomlnm,pop,post-teen pop,0.802,0.904,11,-3.267,0,0.0459,0.00108,0.0,0.173,0.961,128.931,192533
4974,02kdNcUqZRgXwQiYr92gZW,On Fire,Carmada,37,6tLw6pHcjkI7YfjbBWblj6,Realise,2014-12-05,Indie Poptimism!,4hKPJNFIhdAg4pAksn78FJ,pop,indie poptimism,0.486,0.744,7,-6.082,0,0.356,0.0302,6.68e-05,0.0914,0.402,94.965,230507
2330,02pf9lLM8Nb8l4u4ts1GWb,My Nigga,YG,69,4F6GGyqtJoF4EOxDgsKzsB,My Krazy Life (Deluxe),2014-01-01,post teen pop,6rjxP7GQKoqqgoakzxl3PY,pop,post-teen pop,0.673,0.464,10,-6.864,0,0.201,0.0933,0.0,0.21,0.762,171.043,235600
5124,02tvc9CFnTyHuSRlGeNv9w,Corduroy Dreams,Rex Orange County,75,32wYrmt3fg2c8maA80Ioc2,Bcos U Will Never B Free,2016-11-07,indie poptimism,1E5VdGGWkpDQ682gdvJAZH,pop,indie poptimism,0.61,0.305,4,-14.037,1,0.053,0.653,0.0,0.103,0.222,113.818,206975
3506,034JvBsXpn8aAjYyTIPlqh,God Is Art,Shiv-R,0,0f7xrEpcvMwl9pqFtTjSkG,This World Erase,2011-10-07,Gothic / Industrial / Mittelalter / EBM / Futurepop / Gothik / Electropop,53CmFroG6MWR5reOOXJX6B,pop,electropop,0.549,0.746,10,-3.825,0,0.19,0.00547,1.72e-05,0.0575,0.202,138.047,257133
567,035IYcHuQxZHBknOMWGAnI,Let Me Love You,Campsite Dream,41,709gPgqXWasWIsxGYw3ePA,Let Me Love You,2019-06-21,Dance Pop Tunes,4SdfG4cPG3skmTiQLozZGh,pop,dance pop,0.714,0.454,9,-9.122,0,0.245,0.589,0.0,0.113,0.699,98.06,191200
1735,036GQb6SETOJJG8BxJTNxc,Chloe (You're the One I Want),Emblem3,51,4rA1y7l62I627A69JFG1Vk,Nothing To Lose (Deluxe Version),2013-07-26,Post pop teen,222nc9tKxKhfZ2GBrOpwH3,pop,post-teen pop,0.71,0.925,0,-3.329,1,0.0359,0.039,0.0,0.127,0.93,118.024,222987
988,03ShCBJrWXSp3vogMeCIxz,Switch,Afrojack,54,7JwpOIArdc9tgXBuyNewRx,Switch,2019-04-26,Pop Dance Hits,7eERKCkgNKCCx5GYdeMIZf,pop,dance pop,0.768,0.676,11,-6.252,1,0.138,0.174,0.00021,0.152,0.61,109.96,173340
4853,03YZnK3XQWKpvo9TyNZzXf,The Emotion,BØRNS,54,17l7MIu0Jh0tdgK7or9ovw,Dopamine,2015-10-16,random playlist that can't decide its genre so go ahead jam along with these catchy tunes,49qyKvg6UAQAvIMUIGMnP3,pop,indie poptimism,0.418,0.688,11,-5.515,1,0.0265,0.212,0.00964,0.705,0.319,150.03,224787
4781,03ejfFAbwrrANbH4fZzF0W,melancholyism.,Super Whatevr,46,1Umawe3NueijnMkEGiQwZV,melancholyism.,2020-01-07,The Pulse of Indie Poptimism,5qFXOOxrQVyS4UCq3UilZN,pop,indie poptimism,0.44,0.652,0,-6.201,0,0.079,0.0357,0.000136,0.0587,0.5,93.353,188107
3608,03llf55qnVnqzVNP03SEKZ,Pour Some Sugar on Me,Ken Clayton,16,5pXBNUV5Z0MIiE3ExCnIpq,80's Hard Rock Music Top Hits. The Greatest Best Songs 1980's,2014-03-20,80's Songs | Top 💯 80s Music Hits,65HtIbyFkaQPflCa4oW8KO,pop,electropop,0.56,0.809,1,-7.447,0,0.0714,0.307,0.0,0.146,0.603,90.014,256833
4790,03sno6MIkoVX5eC4pRKMzr,Stranger,MOTHXR,49,7glwvxou64yQXBiZALusEH,Centerfold,2016-02-26,The Pulse of Indie Poptimism,5qFXOOxrQVyS4UCq3UilZN,pop,indie poptimism,0.603,0.688,8,-5.515,1,0.0358,0.0117,0.75,0.0941,0.561,94.991,195000
2275,03teNQu8rWlFnNzF1ULXIq,Starstruck,Christopher Wilde,55,3FmqQtzrqovhBNjJfqTjsx,StarStruck,2010-01-01,post teen pop,45AKTTGQEfYgAyidW5hucn,pop,post-teen pop,0.555,0.8,0,-4.835,1,0.0776,0.0353,0.0,0.0783,0.801,174.007,175027
1828,03yWftlC0np4NshtX9RAUy,"Wildside - From ""Adventures in Babysitting""",Sabrina Carpenter,55,5gmYqZjyX50yWhiT31hUxJ,Your Favorite Songs from 100 Disney Channel Original Movies,2016-05-20,🤩🤪Post Teen Pop🤪🤩,6IT8LGpwLw3Pt2XnVUBN7j,pop,post-teen pop,0.766,0.576,6,-5.614,1,0.0426,0.00404,0.000138,0.0794,0.744,122.975,187960
5302,044qU7kwVZaDwzWnRsmVVL,I Dare You,The xx,63,2PXy9USZAoTSdtrxfkPBnl,I See You,2017-01-13,Music&Other Drugs,5jROYSZSL7cO0jGAqkPx7C,pop,indie poptimism,0.752,0.543,1,-9.483,1,0.0398,0.623,0.0706,0.107,0.282,126.001,233280
880,04BZvpVvpJKPWXVfnWr6a3,Grateful (Neon Feather Remix),Cade Thompson,33,5dcQET2nIhMNJxVLrZ1CyX,Grateful (Neon Feather Remix),2018-08-24,Christian Dance Party,37i9dQZF1DWUUPO0Sbx2CM,pop,dance pop,0.48,0.962,11,-3.86,1,0.183,0.00593,3.44e-06,0.423,0.658,100.037,142723
3924,04JbHAAn3uqbfnx6ptFyaK,No Rest for the Wicked - Robin Schulz Remix Edit,Lykke Li,47,1SrvubPy1Dg2BWJyTMcmgr,Prayer,2014-09-16,Chillout & Remixes 💜,4NlAd9NpIa92IjErMyAriM,pop,indie poptimism,0.65,0.903,11,-5.045,0,0.0381,0.000259,0.156,0.905,0.545,119.998,201040
4367,04gQHzS8FLPoNdnRKw4jDJ,"Wow, I'm Not Crazy",AJR,56,02tIakRsIFGW8sO4pBtJgj,Neotheater,2019-04-26,2019 in Indie Poptimism,16RNbqnNCCLlBJti7JU5nc,pop,indie poptimism,0.284,0.609,3,-6.033,1,0.123,0.0438,0.0,0.177,0.521,85.386,196763
4090,04pcMIy3xrbNpecnb0Ii8q,What's Love Got to Do with It,XY&O,39,2sB4bVPkqllNa3CIMLdfYO,What's Love Got to Do with It,2017-03-10,The Sound of Indie Poptimism,7nHgmv7uyIA1KHj6qTttjH,pop,indie poptimism,0.677,0.497,7,-6.329,1,0.0395,0.0777,0.0,0.104,0.24,102.001,218747
4288,0561ZV0uaJYEOPTa5jCiqg,Moved On,Redlight Blue,39,1oBiM4dk2qutNztPMVfa7b,Moved On,2019-12-16,The Edge of Indie Poptimism,5vIdb67lQcdFwoVkE4UMep,pop,indie poptimism,0.491,0.673,4,-10.568,0,0.0287,0.186,0.0,0.369,0.681,88.139,167045
70,05CwHjIk71RXVU40boRMnR,Call You Mine,The Chainsmokers,39,1ONuDpN0a3zhCUyKCgtuzK,World War Joy,2019-05-31,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.591,0.702,7,-5.59,1,0.0289,0.225,0.0,0.414,0.501,104.003,217653
5292,05MLzVoBzoe6LaBooK7Vsj,Howling,RY X,5,0ht6cjokjU8Xhwj6uABgfO,Dawn,2016-05-06,Music&Other Drugs,5jROYSZSL7cO0jGAqkPx7C,pop,indie poptimism,0.712,0.327,6,-13.86,0,0.0304,0.162,0.0787,0.109,0.113,119.983,309591
563,05P4BYqVauVxy0w9g6w2D9,Stand By (feat. Rudimental) [#CWC19],LORYN,58,2RhRVX61dIP4z7T5cgAXzi,Stand By (feat. Rudimental) [#CWC19],2019-05-17,Dance Pop Tunes,4SdfG4cPG3skmTiQLozZGh,pop,dance pop,0.661,0.78,1,-4.738,1,0.0832,0.0616,0.0,0.23,0.623,116.025,189274
3711,05Q5sFIYy6KC887fLw9p1y,Forget,Twin Shadow,34,6uCdsaOGhUNJwjgGnDFIZ4,Forget,2010-10-18,GTA V - Radio Mirror Park,31R7Gd07KsDafqJEeL4Hqr,pop,electropop,0.571,0.821,5,-6.715,1,0.0315,0.455,0.769,0.136,0.535,79.979,230000
4032,05UpUTOoVV6PVjfIhjretZ,Conte a Todos,Sango,41,5Olya3n1lRhRU7NxNihquQ,"De Mim, Pra Você",2017-03-15,POPTIMISM,6lWMi4lPiiPwDqn8ZpeyAY,pop,indie poptimism,0.869,0.843,3,-5.412,0,0.302,0.144,0.19,0.338,0.634,130.067,192000
2185,05bXOQTUxou0BaZ6XteJo0,Krantenwijk,Lil Kleine,6,43GRi0ZPFhZh76YfO5ZRgD,Alleen,2017-06-23,BALLARE - رقص,1CMvQ4Yr5DlYvYzI0Vc2UE,pop,post-teen pop,0.929,0.794,9,-4.245,0,0.122,0.51,0.0,0.129,0.816,120.002,202893
2652,05mAIVLkIWc2d1UBYZBCp8,1999,Charli XCX,71,49Teqcxp4dOBayTBtR3j5W,1999,2018-10-05,Electropop 2019,4Bi8VLtaSu0JILliif8lH6,pop,electropop,0.739,0.742,7,-4.586,1,0.0329,0.0227,1.39e-06,0.229,0.659,124.016,189000
2476,068LmtzI6xJJDPfPnMje0U,Let It Happen,Tame Impala,12,0rxKf57PZvWEoU8v3m5W2q,Currents,2015-07-17,Electro Pop | Electropop,2a5i2ZtEXGKwVGL16J8N0p,pop,electropop,0.602,0.874,1,-5.906,0,0.0428,0.00476,0.0192,0.108,0.612,125.017,467585
241,06BrHnTVDOydsfg0LZ6mQb,Talk - Alle Farben Remix,Khalid,56,0N3tXBqOxFYcmrYRe8HDvr,Talk (Alle Farben Remix),2019-04-04,Cardio,37i9dQZF1DWSJHnPb1f0X3,pop,dance pop,0.638,0.818,9,-4.517,0,0.05,0.131,1.78e-05,0.107,0.489,126.015,167990
2408,06EL94D0TA27Ik0Ke5usbj,The Way,Ariana Grande,67,5xSvNPstcxHtR4ap2vvN8A,Yours Truly,2013-01-01,Post-teen pop,2KyjkYsSsC1UR75b0m98vd,pop,post-teen pop,0.645,0.877,5,-3.208,0,0.113,0.294,0.0,0.0759,0.861,82.324,227027
3343,06FhHrnpYCmIxIxIGUehxQ,Palmar,Caloncho,62,4yLAjcAidjMfi621CSBJTY,Palmar,2015-10-30,ELECTROPOP EN ESPAÑOL,3VfscqF7zq65IGKiYM3FS0,pop,electropop,0.888,0.538,7,-7.644,1,0.0364,0.701,0.00971,0.251,0.702,134.011,192200
4658,06HUJRcD0t95ogCb2pMQJF,Golden Years - M-Phazes Remix,Ruel,56,71Vxpu75TtB7Hy7XoJ6AoQ,Golden Years (M-Phazes Remix),2018-03-16,indie poptimism🕺🏻,6MQeEHHDs6HQkN5Dlj3oKo,pop,indie poptimism,0.722,0.559,10,-5.249,0,0.0342,0.187,8.96e-06,0.125,0.255,110.065,234293
3278,06Hdbxh6NCy6TIhjdXTchB,Headlights (feat. Ilsey),Robin Schulz,63,2ryym6yEc6r3ZuigHBDr1A,Headlights (feat. Ilsey),2015-04-03,Mix ElectroPop//ElectroHouse// DeepHouse 2020,23swqzpOZwW1NhPiZ7iyFI,pop,electropop,0.597,0.685,11,-6.371,1,0.0367,0.0245,0.000335,0.182,0.369,122.002,209208
2947,06I6iDFVtZDGcRu9BgHraA,"Sincerely, Jane - EP Version",Janelle Monáe,36,3T3bJi3cvwR5U7ihwgEwF1,Metropolis: The Chase Suite (Special Edition),2008-08-12,This Is Janelle Monáe,37i9dQZF1DWVT93EW7kPT9,pop,electropop,0.753,0.647,6,-7.606,0,0.0867,0.207,0.0006489999999999,0.15,0.274,119.994,331040
454,06Pvy98db25O7wlfFFFIRM,Bon Bon Chocolat,EVERGLOW,72,34jrFDbWiepwHN4L1pZmCr,ARRIVAL OF EVERGLOW,2019-03-18,K-Party Dance Mix,37i9dQZF1DX4RDXswvP6Mj,pop,dance pop,0.719,0.828,6,-5.559,1,0.0613,0.0343,0.0,0.0747,0.634,139.927,228682
269,06Z7Hy2LUzbcSFmWzwkun1,With You - Frank Walker Remix,Tyler Shaw,49,7mgxrTvbIw7k1Vaij5EPbE,With You (Frank Walker Remix),2019-02-01,Cardio,37i9dQZF1DWSJHnPb1f0X3,pop,dance pop,0.686,0.613,2,-5.614,1,0.069,0.0386,0.0,0.251,0.452,104.988,206875
1993,06ZIzHhJFWf0mDyEylIPf0,Peachy Keen,L Devine,52,1HuhZISAiGWrdFQsOTpTKF,Peachy Keen,2019-10-18,a taste of the mainstream,4gbXqmZDUFHqlaYjf4uVyS,pop,post-teen pop,0.806,0.439,8,-8.917,1,0.068,0.0625,0.00767,0.098,0.489,131.056,148238
5001,06b11p3gAvqqjOnku0CK9V,Hall & Oates,Satchmode,21,1OQC9QT1TmDaMQMc5FEvop,Afterglow,2015-08-25,Indie Poptimism!,4hKPJNFIhdAg4pAksn78FJ,pop,indie poptimism,0.646,0.826,11,-5.635,1,0.0303,0.373,0.749,0.0688,0.853,150.077,205450
551,06mg22JLouk02orwxz0UfD,Mr Todd Terry,Riton,50,3BltvvE3Kp6AX3Otr6SQgU,Mr Todd Terry,2019-12-13,Dance Pop Tunes,4SdfG4cPG3skmTiQLozZGh,pop,dance pop,0.81,0.847,10,-4.759,1,0.0557,0.0181,0.738,0.0609,0.63,120.004,167306
452,06mzeP9GQNSHWd1Nh2C5FM,MIDDLE OF THE NIGHT,Monsta X,69,2EUxUCoJz0ZUdzsjj94WxR,MIDDLE OF THE NIGHT,2019-12-06,K-Party Dance Mix,37i9dQZF1DX4RDXswvP6Mj,pop,dance pop,0.737,0.764,0,-5.511,1,0.0947,0.111,0.0,0.0423,0.924,92.044,166213
2059,06wxsDleir1dIlqeNv6m2M,You Said,Olmos,30,0m0mxxISM2gry81e9UtPY4,You Said,2019-09-20,a taste of the mainstream,4gbXqmZDUFHqlaYjf4uVyS,pop,post-teen pop,0.574,0.664,1,-6.229,1,0.274,0.169,0.0,0.211,0.543,74.946,195200
1219,072GuDuz8KUCpTOx1fDTTt,Swish,Josh Stanley,49,6DI603wWvCDsiMIxXnu6OF,Swish,2019-10-04,Pop Inglés (2020 - 2010s)💙 Música En Inglés 2010s,4QAzO1Z92yqqD6Mf3mOANu,pop,dance pop,0.646,0.412,4,-10.929,0,0.111,0.145,0.0,0.111,0.276,161.878,121482
1561,073ILU1C3APNRGF66VhtyA,Liar,Camila Cabello,77,3Vsbl0diFGw8HNSjG8ue9m,Romance,2019-12-06,"post-teen alternative, indie, pop (large variety)",1y42gwI5cuwjBslPyQNfqb,pop,post-teen pop,0.74,0.498,11,-6.684,0,0.0456,0.0169,0.00282,0.319,0.652,98.016,207039
3054,07ABETRdek3ACMpRPvQuaT,Always on My Mind,Pet Shop Boys,70,0Jt2LzWgtGxy3GZH5i2Kcy,Discography - Complete Singles Collection,1998-03-31,Electropop 80/90s,3FBD3d5zl74LaoBMVC4IXq,pop,electropop,0.533,0.783,7,-10.61,1,0.0366,0.0116,0.0565,0.186,0.726,124.874,234907
1411,07HPV6hzecJmMJwsIX8YVU,He Could Be the One,Hannah Montana,65,0bKrYLZrKCH5qGzgwPxLcl,Hannah Montana 3,2009-01-01,The Sound of Post-Teen Pop,10FCW9lj0NdeoYI5VVvVtY,pop,post-teen pop,0.602,0.894,4,-3.975,1,0.032,0.00154,0.0,0.433,0.643,125.988,180800
4305,07OKKRUAmBaJDf8YGF1PD5,Do Me Like A Drug,Emmanuel Franco,35,5HzJGtjLt07juxiozjWWBF,Do Me Like A Drug,2020-01-08,The Edge of Indie Poptimism,5vIdb67lQcdFwoVkE4UMep,pop,indie poptimism,0.857,0.757,6,-4.739,1,0.0503,0.159,0.00765,0.0977,0.374,106.985,172710
533,07nH4ifBxUB4lZcsf44Brn,Blame,Calvin Harris,75,48zisMeiXniWLzOQghbPqS,Motion,2014-10-31,Dance Pop,0B2HdP15IucgE0vk3sluJR,pop,dance pop,0.413,0.856,0,-4.078,0,0.0808,0.0289,0.00571,0.343,0.35,128.017,212960
1165,07tOsOR7E9zW89v2FqzsdG,Busy Earnin',Jungle,53,7oZG5VZ4SukMmnylJ16O24,Jungle,2014-07-15,Ultimate Indie Presents... Best Indie Tracks of the 2010s,37i9dQZF1DWTHM4kX49UKs,pop,dance pop,0.457,0.883,10,-5.61,0,0.0376,0.209,5.11e-06,0.0912,0.736,99.937,181773
3492,07trtA9L3paByfzsIf6pZH,Control,VNV Nation,40,6y7Te7o9eY0odEoYjJLuyu,Automatic,2011-09-16,Gothic / Industrial / Mittelalter / EBM / Futurepop / Gothik / Electropop,53CmFroG6MWR5reOOXJX6B,pop,electropop,0.674,0.82,10,-7.002,1,0.062,0.000765,0.0102,0.126,0.221,140.059,350093
5233,07zV7KJhD507OPDD0NUuj2,Lower,TENDER,26,2BlQOQXsApLzh2MzTMF8Ca,Tar / Lower,2019-05-31,Music&Other Drugs,5jROYSZSL7cO0jGAqkPx7C,pop,indie poptimism,0.65,0.493,3,-8.786,0,0.0633,0.622,0.00111,0.119,0.489,163.977,239053
2195,085XpQzAKm4nAfcfRp2get,Get Free (feat. Amber Coffman),Major Lazer,4,67wzb7V0Ko4zjULNHX3INN,Free The Universe Deluxe,2013-03-15,BALLARE - رقص,1CMvQ4Yr5DlYvYzI0Vc2UE,pop,post-teen pop,0.525,0.538,11,-9.366,0,0.0783,0.14,0.117,0.095,0.802,175.953,291162
1225,0871vn05d33xTvZllwVWKq,Sass Cafe,Josh Stanley,41,1eiSdwoRudvGTSBa5WOHlr,Sass Cafe,2019-06-07,Pop Inglés (2020 - 2010s)💙 Música En Inglés 2010s,4QAzO1Z92yqqD6Mf3mOANu,pop,dance pop,0.799,0.616,1,-9.501,1,0.262,0.343,4.15e-05,0.14,0.356,95.055,160800
5503,087B7ONFOiKkkMVmg83md0,Hello Hello,Fickle Friends,40,7LdUzhm4SloDil5y0sRen0,You Are Someone Else,2018-03-16,Indie Poptimism,21nxmipQe5xtXoHHPaYfnY,pop,indie poptimism,0.63,0.889,8,-3.863,1,0.0441,0.0883,0.0,0.107,0.693,132.033,178053
4294,088eGKZm5dgDxFauCEwOqp,Real Eyes,Fili,38,77g3tHy63PwOI1IRxEtNMT,Real Eyes,2019-12-20,The Edge of Indie Poptimism,5vIdb67lQcdFwoVkE4UMep,pop,indie poptimism,0.455,0.51,1,-10.02,1,0.0488,0.523,0.0761,0.0826,0.0368,100.145,254257
4624,08Kj0lvbsqAxzeUOBYZRL6,Good Nights (feat. Mascolo),Whethan,67,4oN0HoJVDsVKwJmquYy7d2,Life of a Wallflower Vol. 1,2018-11-09,Intro to Indie Poptimism,6Ylmweq4pT7j3ScIv5uq1c,pop,indie poptimism,0.849,0.483,6,-7.114,0,0.291,0.443,0.000141,0.0786,0.282,101.015,165618
5347,08XmoAjG6I2vbsONnFmDWg,I Follow Rivers,Lykke Li,42,1gjEFQQR0cutoH63nwgBRH,I Follow Rivers,2008,Deep-deep Bubble Pop,744VClUYfFnZCDPcOUkg5G,pop,indie poptimism,0.599,0.533,9,-14.032,0,0.0472,0.475,0.00153,0.235,0.607,122.262,228467
4675,08bNPGLD8AhKpnnERrAc6G,FRIENDS,Marshmello,83,1BmxOYHjQv1dKZRr13YRZM,FRIENDS,2018-02-09,indie poptimism🕺🏻,6MQeEHHDs6HQkN5Dlj3oKo,pop,indie poptimism,0.626,0.88,9,-2.384,0,0.0504,0.205,0.0,0.128,0.534,95.079,202621
3508,08d01k2LOAsQ3n9JyXq3Jb,Mädchen in Unform (Faderhead Remix),Nachtmahr,0,0EfxIARZf0X1QhLB9Mg3mq,Mädchen in Uniform,2010-01-29,Gothic / Industrial / Mittelalter / EBM / Futurepop / Gothik / Electropop,53CmFroG6MWR5reOOXJX6B,pop,electropop,0.607,0.968,2,-5.538,1,0.0777,0.000224,9.3e-06,0.644,0.459,142.01,233387
5002,08qjPXZBdEyif5PxU2AY9S,Sway - Chainsmokers Remix,Anna of the North,53,31x1096qReQebv3YyADEp6,Sway (Chainsmokers Remix),2014-10-07,Indie Poptimism!,4hKPJNFIhdAg4pAksn78FJ,pop,indie poptimism,0.673,0.795,2,-6.21,1,0.0309,0.0555,0.0111,0.117,0.437,105.025,180571
