track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
00HIh9mVUQQAycsQiciWsh,Limestone,Magic City Hippies,58,7mtoEwzZYBqG8JYItxcccG,Hippie Castle EP,2015-07-24,Indie Poptimism,1pZWCY50kMUhshcESknir8,pop,indie poptimism,0.706,0.457,4,-9.359,1,0.0383,0.282,0.00849,0.0614,0.723,78.014,209165
00S35gEf40z03JTJgvQMqi,It's You - Radio Edit,Syn Cole,51,34u7JI9MqdhGSkhMNrlDST,It's You,2015-04-07,ElectroPop,0cuHKz65ZPqBX1brG8djlg,pop,electropop,0.646,0.831,10,-4.164,1,0.0523,0.11,1.04e-05,0.134,0.486,127.957,211875
00YeYHw6zhoy1y7EPTgIkj,Shine - Kygo Remix,Benjamin Francis Leftwich,48,6tUKtq2hrHaWVs5Qokzc1P,Shine (Kygo Remix),2014-01-01,Chillout & Remixes 💜,4NlAd9NpIa92IjErMyAriM,pop,indie poptimism,0.703,0.599,4,-8.687,1,0.138,0.402,0.000572,0.243,0.312,112.017,280640
00Z0GIRi0l7WqQnQJCo5S2,Don't Let It Break Your Heart - Single Edit,Louis Tomlinson,75,5u9HZPF2dVu38Ly2Ftje7S,Don't Let It Break Your Heart,2019-11-23,The Sound of Post-Teen Pop,10FCW9lj0NdeoYI5VVvVtY,pop,post-teen pop,0.362,0.708,10,-4.046,1,0.0672,0.0226,0.0,0.0873,0.513,166.31,196160
00emjlCv9azBN0fzuuyLqy,Dumb Litty,KARD,65,7h5X3xhh3peIK9Y0qI5hbK,KARD 2nd Digital Single ‘Dumb Litty’,2019-09-22,K-Party Dance Mix,37i9dQZF1DX4RDXswvP6Mj,pop,dance pop,0.76,0.887,9,-1.993,1,0.0409,0.037,0.0,0.138,0.24,130.018,193160
00qOE7OjRl0BpYiCiweZB2,Juke Box Hero,Foreigner,67,2Pw51hAGvWpTA3AYl2WVuu,4 (Expanded),1981,Dr. Q's Prescription Playlist💊,6jAPdgY9XmxC9cgkXAVmVv,pop,post-teen pop,0.357,0.653,9,-5.554,1,0.0654,0.0828,0.0,0.0844,0.522,176.647,259800
01iyINEYgPQ7ThMZuHUsqS,First Love,Lost Kings,58,7syMmofF2t1xI0RFCtrSG9,First Love,2017-10-13,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.619,0.938,5,-5.245,1,0.35,0.0257,1.39e-05,0.128,0.601,94.38,207428
01vv2AjxgP4uUyb8waYO5Y,Morph,Twenty One Pilots,70,621cXqrTSSJi1WqDMSLmbL,Trench,2018-10-05,Electropop,2Z5cPJ6Z4EVZAfF08amjvL,pop,electropop,0.734,0.607,8,-7.249,0,0.0806,0.0747,0.000577,0.0968,0.518,90.023,258853
027VSEVC8RRjUXLEJAzhH6,On the Back of Your Neck,Cienfue,49,0v8NfkCv7W76lm9Cea5LzO,On the Back of Your Neck,2020-01-03,The Pulse of Indie Poptimism,5qFXOOxrQVyS4UCq3UilZN,pop,indie poptimism,0.676,0.788,9,-4.596,0,0.0428,0.1,0.254,0.326,0.688,123.018,253444
02XnQdf7sipaKBBHixz3Zp,Paparazzi,Lady Gaga,69,1qwlxZTNLe1jq3b0iidlue,The Fame,2008-01-01,BALLARE - رقص,1CMvQ4Yr5DlYvYzI0Vc2UE,pop,post-teen pop,0.762,0.692,5,-3.973,0,0.0438,0.113,0.0,0.094,0.397,114.906,208307
02bTIMbUm8Zgt0cVAiexE4,This Is Our Time,WILD,57,3AqbPrgSagOalMSxVMkkrG,This Is Our Time,2019-12-28,The Pulse of Indie Poptimism,5qFXOOxrQVyS4UCq3UilZN,pop,indie poptimism,0.531,0.724,8,-7.341,1,0.0283,0.0243,0.0515,0.112,0.288,145.022,202478
02jcEwywffn3Tsb48fXmlW,Get the Party Started,P!nk,66,57wJKO7qrPw56iOEKhTmg2,M!ssundaztood (Expanded Edition),2001,post-teen pop,4TvZA7Pml7mHLgbwNomlnm,pop,post-teen pop,0.802,0.904,11,-3.267,0,0.0459,0.00108,0.0,0.173,0.961,128.931,192533
02pf9lLM8Nb8l4u4ts1GWb,My Nigga,YG,69,4F6GGyqtJoF4EOxDgsKzsB,My Krazy Life (Deluxe),2014-01-01,post teen pop,6rjxP7GQKoqqgoakzxl3PY,pop,post-teen pop,0.673,0.464,10,-6.864,0,0.201,0.0933,0.0,0.21,0.762,171.043,235600
02tvc9CFnTyHuSRlGeNv9w,Corduroy Dreams,Rex Orange County,75,32wYrmt3fg2c8maA80Ioc2,Bcos U Will Never B Free,2016-11-07,indie poptimism,1E5VdGGWkpDQ682gdvJAZH,pop,indie poptimism,0.61,0.305,4,-14.037,1,0.053,0.653,0.0,0.103,0.222,113.818,206975
036GQb6SETOJJG8BxJTNxc,Chloe (You're the One I Want),Emblem3,51,4rA1y7l62I627A69JFG1Vk,Nothing To Lose (Deluxe Version),2013-07-26,Post pop teen,222nc9tKxKhfZ2GBrOpwH3,pop,post-teen pop,0.71,0.925,0,-3.329,1,0.0359,0.039,0.0,0.127,0.93,118.024,222987
